WHOREGION,ITZ,COUNTRY/AREA/TERRITORY,COUNTRY_CODE,ORIGIN_SOURCE,ISO_YEAR,ISO_WEEK,ISO_SDATE,SPEC_RECEIVED_NB,SPEC_PROCESSED_NB,AH1,AH1N12009,AH3,AH5,ANOTSUBTYPED,INF_A,BVIC,BYAM,BNOTDETERMINED,INF_B,INF_ALL,INF_NEGATIVE,ILI_ACTIVITY
WPR,FLU_OCE_MEL_POL,Australia,AUS,NOTDEFINED,2021,39,2021-09-27T03:00:00.000Z,1757,2694,,,,,0,0,,,0,0,0,2694,2
WPR,FLU_OCE_MEL_POL,Australia,AUS,NOTDEFINED,2021,40,2021-10-04T03:00:00.000Z,1924,2753,,,,,0,0,,,1,1,1,2752,2
WPR,FLU_OCE_MEL_POL,Australia,AUS,NOTDEFINED,2021,41,2021-10-11T03:00:00.000Z,1668,2462,,,,,0,0,,,0,0,0,2462,2
WPR,FLU_OCE_MEL_POL,Australia,AUS,NOTDEFINED,2021,42,2021-10-18T03:00:00.000Z,1772,2468,,,,,0,0,,,0,0,0,2468,2
WPR,FLU_OCE_MEL_POL,Australia,AUS,NOTDEFINED,2021,43,2021-10-25T03:00:00.000Z,1700,2369,,,,,0,0,,,0,0,0,2368,2
WPR,FLU_OCE_MEL_POL,Australia,AUS,NOTDEFINED,2021,44,2021-11-01T03:00:00.000Z,1671,2356,,,,,0,0,,,0,0,0,2356,2
WPR,FLU_OCE_MEL_POL,Australia,AUS,NOTDEFINED,2021,45,2021-11-08T03:00:00.000Z,1640,2285,,,,,0,0,,,0,0,0,2285,2
WPR,FLU_OCE_MEL_POL,Australia,AUS,NOTDEFINED,2021,46,2021-11-15T03:00:00.000Z,1583,2300,,,,,1,1,,,0,0,1,2299,2
WPR,FLU_OCE_MEL_POL,Australia,AUS,NOTDEFINED,2021,47,2021-11-22T03:00:00.000Z,1573,2141,,,,,1,1,,,0,0,1,2140,2
WPR,FLU_OCE_MEL_POL,Australia,AUS,NOTDEFINED,2021,48,2021-11-29T03:00:00.000Z,1587,2177,,,,,1,1,,,0,0,1,2176,2
WPR,FLU_OCE_MEL_POL,Australia,AUS,NOTDEFINED,2021,49,2021-12-06T03:00:00.000Z,1618,2264,,,,,0,0,,,0,0,0,2264,2
